legacy_id	v6_id	name_zh	name_en	category_new	category_raw	disposition
M371	M-WZ-001	屯垦戍边法	Frontier Reclamation and Defense Method	政治治理	战略建设	档案10条之一：迁入并统一重编
M372	M-WZ-002	实干兴邦法	Practical Work for National Rejuvenation Method	方法论通用	工作方法	档案10条之一：迁入并统一重编
M373	M-WZ-003	艰苦奋斗法	Arduous Struggle Method	伦理修养	精神品质	档案10条之一：迁入并统一重编
M374	M-WZ-004	军政融合法	Military-Government Integration Method	政治治理	制度创新	档案10条之一：迁入并统一重编
M375	M-WZ-005	忠诚坚定法	Loyalty and Firmness Method	政治治理	政治品格	档案10条之一：迁入并统一重编
M376	M-WZ-006	接地气的群众路线法	Mass Line Grounded Method	方法论通用	工作方法	档案10条之一：迁入并统一重编
M377	M-WZ-007	敢为人先创新法	Dare-to-be-First Innovation Method	方法论通用	创新精神	档案10条之一：迁入并统一重编
M378	M-WZ-008	统一战线聚力法	United Front Concentration Method	战略决策	政治策略	档案10条之一：迁入并统一重编
M379	M-WZ-009	自我革命净化法	Self-Revolution Purification Method	政治治理	党的建设	档案10条之一：迁入并统一重编
M380	M-WZ-010	实事求是法	Seeking Truth from Facts Method	认识论逻辑	思想路线	档案10条之一：迁入并统一重编
M391	(归档去重，不并入)	屯垦戍边法	Tunten Shubian Method	—	边疆治理	旧码条目：与 M371 同题重复 → 字节快照归档 _duplicates + 差异表留存；富字段吸收建议列精修候选
M392	M-WZ-011	兵团模式法	Bingtu Model Method	经济商业	组织管理	旧码条目：独立 → 并轨为 M-WZ-011（字段保全重编号，related_modes 重指 M-WZ-001；待收口确认）
