legacy_id	v6_id	name_zh	name_en
M001	M-JX-001	"横的移植"跨文化借鉴法	"Horizontal Transplantation" Cross-Cultural Borrowing Method
M002	M-JX-002	"知性之强调"——理性思辨主导法	"Emphasis on Intellectuality" — Rational Reflection Method
M003	M-JX-003	"纯粹的诗"——诗歌本体论建构法	"Pure Poetry" — Ontological Construction Method for Poetry
M004	M-JX-004	存在主义诗学——思想资源转化法	Existentialist Poetics — Ideological Resource Transformation Method
M005	M-JX-005	"诗是人类生活中的高扬部分"——超越性价值定位法	"Poetry as Humanity's Elevated Part" — Transcendent Value Positioning Method
M006	M-JX-006	"六个信条"系统化诗学建构法	"Six Commandments" Systematic Poetic Theory Construction Method
M007	M-JX-007	"独狼"精神——孤独独立艺术人格法	"Lone Wolf" Spirit — Solitary Independent Artistic Persona Method
M008	M-JX-008	蓝星论战——多元诗学路径争鸣法	Blue Star Debate — Multi-Path Poetic Controversy Method
M009	M-JX-009	"新的人类"——现代性价值取向法	"New Humanity" — Modernity Value Orientation Method
M010	M-JX-010	终身创作——持续实践验证法	Lifelong Creative Practice — Continuous Validation Method
