figure_code	name_zh	legacy_id	new_id	disposition	group	source_card	source_ref	status	notes
H-CY-001	实事求是法	M101	M-CY-001	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L2	已落盘（批1，已提交）	
H-CY-001	调查研究先行法	M102	M-CY-002	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L3	已落盘（批1，已提交）	
H-CY-001	交换比较反复决策法	M103	M-CY-003	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L4	已落盘（批1，已提交）	
H-CY-001	摸着石头过河渐进改革法	M104	M-CY-004	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L5	已落盘（批1，已提交）	
H-CY-001	综合平衡经济思维法	M105	M-CY-005	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L6	已落盘（批1，已提交）	
H-CY-001	计划与市场统一思维法	M106	M-CY-006	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L7	已落盘（批1，已提交）	
H-CY-001	重点突破与全面兼顾法	M107	M-CY-007	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L8	已落盘（批1，已提交）	
H-CY-001	稳定优先渐进变革思维法	M108	M-CY-008	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L9	已落盘（批1，已提交）	
H-CY-001	实践检验真理思维法	M109	M-CY-009	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L10	已落盘（批1，已提交）	
H-CY-001	量力而行稳健决策法	M110	M-CY-010	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-CY-001/id_mapping.tsv L11	已落盘（批1，已提交）	
H-JX-001	"横的移植"跨文化借鉴法	M001	M-JX-001	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L2	已落盘（批1，已提交）	
